description,goal,pledged,outcome,backers_count,country,currency,launch_date,end_date,category_id,subcategory_id
Ameliorated foreground focus group,6200.0,13441.0,successful,480,US,USD,2020-07-18,2021-03-28,cat5,subcat5
Triple-buffered multi-tasking matrices,9400.0,4899.0,failed,64,US,USD,2021-03-02,2021-09-20,cat6,subcat16
Versatile dedicated migration,2400.0,11990.0,successful,226,US,USD,2021-06-12,2021-08-18,cat6,subcat19
Devolved foreground customer loyalty,7800.0,6839.0,failed,64,US,USD,2021-06-09,2021-06-18,cat5,subcat7
Reduced reciprocal focus group,9800.0,11091.0,successful,241,US,USD,2020-12-09,2021-05-26,cat2,subcat2
Networked global migration,3100.0,13223.0,successful,132,US,USD,2020-06-14,2021-02-09,cat5,subcat7
De-engineered even-keeled definition,9800.0,7608.0,canceled,75,IT,EUR,2021-07-03,2021-07-08,cat8,subcat15
Implemented bi-directional flexibility,141100.0,74073.0,failed,842,US,USD,2021-11-15,2021-12-07,cat6,subcat19
Vision-oriented scalable definition,97300.0,153216.0,successful,2043,US,USD,2020-12-29,2021-05-30,cat1,subcat1
Future-proofed upward-trending migration,6600.0,4814.0,failed,112,US,USD,2021-10-15,2021-11-30,cat4,subcat4
Right-sized full-range throughput,7600.0,4603.0,canceled,139,IT,EUR,2021-11-06,2021-12-10,cat4,subcat4
Polarized composite customer loyalty,66600.0,37823.0,failed,374,US,USD,2020-10-08,2021-04-11,cat2,subcat8
Expanded eco-centric policy,111100.0,62819.0,canceled,1122,US,USD,2020-12-30,2021-08-18,cat1,subcat1
